start,iteration,value,g_norm
2,1,-5.000000156823e-01,1.200802e-06
2,2,-5.284434362997e-01,2.993434e-01
2,3,-5.826151490236e-01,2.125548e-01
2,4,-6.239942202729e-01,3.284146e-01
2,5,-6.421641189471e-01,3.378723e-01
2,6,-6.531346867030e-01,5.330527e-02
2,7,-6.574651281126e-01,8.120234e-02
2,8,-6.615908741828e-01,1.317056e-01
2,9,-6.635535833250e-01,1.584634e-01
2,10,-6.673391868803e-01,3.204884e-01
2,11,-6.757242823468e-01,5.674452e-01
2,12,-6.892530268590e-01,2.685531e-01
2,13,-6.970471336879e-01,1.193562e-01
2,14,-6.991756067216e-01,8.079506e-02
2,15,-7.008561365326e-01,2.886291e-02
2,16,-7.009239103070e-01,2.186862e-03
2,17,-7.009245828717e-01,7.130350e-04
2,18,-7.009247478561e-01,6.985553e-04
2,19,-7.009358290004e-01,3.844466e-03
2,20,-7.009391152701e-01,2.116538e-03
2,21,-7.009401006027e-01,1.543575e-04
2,22,-7.009401050361e-01,3.726047e-05
2,23,-7.009401062901e-01,4.826177e-05
2,24,-7.009401735004e-01,3.894105e-04
2,25,-7.009444834205e-01,9.200498e-04
2,26,-7.009450027251e-01,1.454638e-03
2,27,-7.009451611748e-01,7.254227e-04
2,28,-7.009453799264e-01,9.676850e-05
2,29,-7.009453802702e-01,3.362935e-05
2,30,-7.009453804980e-01,2.985462e-06
2,31,-7.009453805719e-01,1.432602e-07
