start,kind,iteration,value,g_norm
1,warm,0,-5.107277262956e-01,4.065329e-01
1,warm,1,-5.968634188008e-01,3.792624e-01
1,warm,2,-6.484523757942e-01,2.447299e-01
1,warm,3,-6.861842237360e-01,2.785964e-01
1,warm,4,-7.091811777275e-01,7.629923e-02
1,warm,5,-7.110123817162e-01,2.744525e-02
1,warm,6,-7.115465036747e-01,8.385927e-03
1,warm,7,-7.115588703361e-01,2.052630e-03
1,warm,8,-7.115605429030e-01,8.793053e-05
1,warm,9,-7.115605477576e-01,4.889085e-06
1,warm,10,-7.115605477620e-01,6.090234e-09
2,random,0,-5.164630840520e-01,5.096728e-01
2,random,1,-6.616569186720e-01,2.436452e-01
2,random,2,-6.984041337064e-01,2.513065e-01
2,random,3,-7.110276132104e-01,3.064369e-02
2,random,4,-7.112917406663e-01,2.289197e-02
2,random,5,-7.115149682300e-01,8.002545e-03
2,random,6,-7.115605266429e-01,3.152975e-04
2,random,7,-7.115605477132e-01,1.495721e-05
2,random,8,-7.115605477620e-01,1.205348e-07
3,random,0,-4.902551647359e-01,8.346048e-02
3,random,1,-5.031403308574e-01,4.650516e-02
3,random,2,-6.404719149962e-01,1.827342e-01
3,random,3,-6.407808673116e-01,2.082140e-01
3,random,4,-6.553224277628e-01,2.645849e-02
3,random,5,-6.554580451563e-01,9.932227e-04
3,random,6,-6.554587269472e-01,8.360988e-04
3,random,7,-6.796543298529e-01,2.152431e-01
3,random,8,-6.799965318450e-01,2.268150e-01
3,random,9,-7.096772782838e-01,7.680568e-02
3,random,10,-7.107265967580e-01,4.320222e-02
3,random,11,-7.113227707043e-01,2.797894e-02
3,random,12,-7.115564839116e-01,2.624291e-03
3,random,13,-7.115605263297e-01,3.717439e-04
3,random,14,-7.115605477277e-01,1.072014e-05
3,random,15,-7.115605477620e-01,2.884925e-07
