start,kind,iteration,value,g_norm
1,warm,1,-6.524883141634e-01,3.182583e-01
1,warm,2,-6.585910588988e-01,1.159631e-02
1,warm,3,-6.586171109000e-01,1.015436e-02
1,warm,4,-6.586250245765e-01,1.325676e-05
1,warm,5,-6.586250246330e-01,2.912642e-08
2,random,1,-4.914486613946e-01,1.026837e+00
2,random,2,-5.388782096811e-01,4.985040e-01
2,random,3,-5.600246703161e-01,1.868023e-02
2,random,4,-5.600565997056e-01,2.098698e-03
2,random,5,-5.600574086131e-01,1.531876e-06
2,random,6,-5.600574086135e-01,8.503500e-10
3,random,1,-5.709038319015e-01,4.175285e-01
3,random,2,-6.116602884981e-01,3.182039e-01
3,random,3,-6.516298460481e-01,3.561693e-01
3,random,4,-6.586085184497e-01,7.732112e-03
3,random,5,-6.586249255677e-01,1.337537e-03
3,random,6,-6.586250246330e-01,1.485223e-07
