start,iteration,value,g_norm
1,1,-7.860082032958e-01,3.828565e-01
1,2,-7.959600604004e-01,1.307526e-01
1,3,-7.964010692750e-01,1.266708e-01
1,4,-7.970018439107e-01,1.458588e-01
1,5,-7.977500797727e-01,9.315491e-02
1,6,-7.985584848335e-01,1.584167e-01
1,7,-7.987661711034e-01,5.355835e-02
1,8,-7.987992257386e-01,5.424261e-02
1,9,-7.993127360501e-01,1.933360e-02
1,10,-7.993231220992e-01,1.939988e-02
1,11,-7.993294169927e-01,1.925993e-02
1,12,-7.993096481357e-01,1.516522e-02
1,13,-7.993022632524e-01,1.572514e-02
1,14,-7.994014293990e-01,4.387140e-02
1,15,-7.996098863496e-01,3.054047e-02
1,16,-7.995906304003e-01,3.039885e-02
1,17,-7.995978260351e-01,1.875043e-02
1,18,-7.996175282294e-01,2.471924e-02
1,19,-7.996224721171e-01,1.391006e-02
1,20,-7.996318753432e-01,1.358962e-02
1,21,-7.997023095584e-01,1.270628e-02
1,22,-7.997035351284e-01,1.209807e-02
1,23,-7.997501270979e-01,1.216245e-02
1,24,-7.997625546291e-01,1.034546e-02
1,25,-7.998066252066e-01,1.042175e-02
1,26,-7.998985796611e-01,1.110840e-02
1,27,-7.999016709553e-01,1.052856e-02
1,28,-7.999042254629e-01,1.139832e-02
1,29,-7.999042254629e-01,1.139832e-02
