run_id,run_kind,runner_label,timestamp_utc,git_commit,git_branch,git_dirty,k,D,p,clause_sign,restarts,maxiters,seed,value,wall_time_seconds,best_start_wall_time_seconds,evaluations,starts,iterations,converged,retry_count,best_start_kind,g_abstol,gamma,beta
20260402T054807-k3-d6-p1-14-r2-i320-s1234,experiment,unknown,2026-04-02T05:48:07,c99e81dfa68d5b3a18e777e7b89145bbcbe8045f,main,true,3,6,1,1,2,320,1234,0.640718868498,1.403589,0.554901,23,3,0,true,0,warm,1.0e-06,0.44225821680268584,0.2883436771122114
20260402T054807-k3-d6-p1-14-r2-i320-s1234,experiment,unknown,2026-04-02T05:48:07,c99e81dfa68d5b3a18e777e7b89145bbcbe8045f,main,true,3,6,2,1,2,320,1234,0.691798945824,1.590362,0.070971,90,3,8,true,0,warm,1.0e-06,0.3379760824287794;0.5647236152484902,0.35602525206896685;0.2092925881761656
20260402T054807-k3-d6-p1-14-r2-i320-s1234,experiment,unknown,2026-04-02T05:48:07,c99e81dfa68d5b3a18e777e7b89145bbcbe8045f,main,true,3,6,3,1,2,320,1234,0.723248754631,14.728370,0.089454,247,3,9,true,0,warm,1.0e-06,0.2897617588353273;0.4871176455449775;0.558715271502021,0.3774763069607525;0.28269043367223506;0.17204986609769293
20260402T054807-k3-d6-p1-14-r2-i320-s1234,experiment,unknown,2026-04-02T05:48:07,c99e81dfa68d5b3a18e777e7b89145bbcbe8045f,main,true,3,6,4,1,2,640,1234,0.744482066639,18.912949,0.140675,295,3,11,true,0,warm,1.0e-06,0.25994383170031105;0.44045990512305844;0.4928899323005626;0.5581327880597226,0.38260527285282997;0.3051273714544864;0.25128281000245606;0.147946669198929
20260402T054807-k3-d6-p1-14-r2-i320-s1234,experiment,unknown,2026-04-02T05:48:07,c99e81dfa68d5b3a18e777e7b89145bbcbe8045f,main,true,3,6,5,1,2,1280,1234,0.760163659266,11.581887,0.484404,288,3,14,true,0,warm,1.0e-06,0.23947612162718535;0.41160609534010595;0.4482413428492515;0.49429214200287525;0.5582227983371922,0.38539726064808316;0.3127747995500904;0.27543175566785505;0.23138093856285702;0.13044542653250954
20260402T054807-k3-d6-p1-14-r2-i320-s1234,experiment,unknown,2026-04-02T05:48:07,c99e81dfa68d5b3a18e777e7b89145bbcbe8045f,main,true,3,6,6,1,2,1280,1234,0.772240853017,30.474347,1.078835,657,3,17,true,0,warm,1.0e-06,0.22435199280888782;0.39007229398668064;0.4218419284244019;0.44866530155830636;0.4938514187778647;0.5587971107776849,0.38609390412377304;0.3154313514721425;0.2854819206948153;0.2587043680641444;0.2155814335399689;0.11710074287297165
20260402T054807-k3-d6-p1-14-r2-i320-s1234,experiment,unknown,2026-04-02T05:48:07,c99e81dfa68d5b3a18e777e7b89145bbcbe8045f,main,true,3,6,7,1,2,1280,1234,0.781862673769,50.962932,4.857964,722,3,24,true,0,warm,1.0e-06,0.21253269983070763;0.37354258562922593;0.4028327336342363;0.4230912487938;0.44626667369920237;0.49383930634915174;0.559768931096866,0.3859248956205413;0.31590747290790205;0.2893027891843241;0.2718768800633365;0.24577003271479558;0.20232163867523023;0.10657487326827156
20260402T054807-k3-d6-p1-14-r2-i320-s1234,experiment,unknown,2026-04-02T05:48:07,c99e81dfa68d5b3a18e777e7b89145bbcbe8045f,main,true,3,6,8,1,2,1280,1234,0.789729626457,177.168833,26.618167,971,3,28,true,0,warm,1.0e-06,0.20304287007620392;0.3601865650078163;0.3883722779093325;0.4052407182924916;0.4206215844106958;0.44394611057920025;0.49469874957352006;0.5611166080373666,0.38527202139911054;0.3151914935630119;0.2903491690637127;0.2774741970565377;0.26169848556214265;0.23485972517657702;0.19077358100436873;0.09793860616667352
20260402T054807-k3-d6-p1-14-r2-i320-s1234,experiment,unknown,2026-04-02T05:48:07,c99e81dfa68d5b3a18e777e7b89145bbcbe8045f,main,true,3,6,9,1,2,1280,1234,0.796296627353,569.259072,163.684031,1196,3,52,true,0,warm,1.0e-06,0.1952136504879559;0.34908761874109;0.3767986136414096;0.3919792594858121;0.402935880143583;0.4177730369098514;0.4424947036018475;0.4963612743864163;0.5628543555938218,0.3843722312705258;0.3139233448480094;0.28999131654029553;0.2796642467773775;0.2689432132726291;0.2532665972464412;0.2251383214528345;0.18049874209134043;0.09066790742297313
