start,kind,iteration,value,g_norm
1,warm,1,Inf,0.000000e+00
2,random,1,-5.041403765918e-01,8.264520e-02
2,random,2,-5.145236711140e-01,1.336527e-01
2,random,3,-5.072768562456e-01,5.919647e-02
2,random,4,-5.075621894071e-01,6.001282e-02
2,random,5,-5.110669611442e-01,1.356363e-01
2,random,6,-5.111202627441e-01,9.920373e-02
2,random,7,-5.121648978615e-01,2.022536e-01
2,random,8,-5.122748428313e-01,1.273946e-01
2,random,9,-5.122748428313e-01,1.273946e-01
2,random,10,-5.316528038870e-01,1.601577e-01
2,random,11,-5.333315219054e-01,4.489691e-01
2,random,12,-5.683386791883e-01,3.531996e-01
2,random,13,-6.031651057455e-01,1.777114e+00
2,random,14,-6.092148973100e-01,6.729754e-01
2,random,15,-6.171333255509e-01,1.019719e+00
2,random,16,-6.683178146417e-01,1.855120e+00
2,random,17,-6.925985033924e-01,1.255405e+00
2,random,18,-7.592126939918e-01,3.142259e+00
2,random,19,-7.631030932532e-01,2.395263e+00
2,random,20,-7.636486708205e-01,3.741176e+00
2,random,21,-7.674299786127e-01,3.794321e+00
2,random,22,-7.770414990342e-01,1.555366e+00
2,random,23,-7.770414990342e-01,1.555366e+00
3,random,1,-5.000000000000e-01,8.811299e-14
